age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,attendance_rate,grade_avg,pass_binary,risk_category,study_efficiency,has_failures,family_edu_avg,family_edu_max
16,4,4,1,2,0,2,4,4,2,3,4,0,17,16,16,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False,1.0,16.333333333333332,1,Low_Risk,5.444444444444444,0,4.0,4
16,1,1,4,1,0,5,5,5,5,5,5,0,10,10,16,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,1.0,12.0,1,Low_Risk,6.0,0,1.0,1
16,1,2,1,2,0,4,4,3,1,1,1,0,13,13,10,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,True,False,1.0,12.0,1,Medium_Risk,4.0,0,1.5,2
16,4,3,1,3,0,3,4,4,2,4,4,0,14,13,13,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True,False,1.0,13.333333333333334,1,Medium_Risk,3.3333333333333335,0,3.5,4
15,4,3,1,2,0,4,4,4,2,4,2,0,13,12,12,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,True,True,1.0,12.333333333333334,1,Medium_Risk,4.111111111111112,0,3.5,4
16,4,3,3,2,0,5,4,3,1,2,1,2,16,15,16,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,0.8666666666666667,15.666666666666666,1,Low_Risk,5.222222222222222,0,3.5,4
15,4,4,1,4,0,1,3,3,5,5,3,0,11,12,12,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,1.0,11.666666666666666,1,Medium_Risk,2.333333333333333,0,4.0,4
16,3,1,1,4,0,4,3,3,1,2,5,0,10,9,10,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,1.0,9.666666666666666,1,Medium_Risk,1.9333333333333331,0,2.0,3
15,2,2,2,2,0,4,1,3,1,3,4,0,11,10,11,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,True,True,True,False,1.0,10.666666666666666,1,Medium_Risk,3.5555555555555554,0,2.0,2
15,3,1,2,4,0,4,4,2,2,3,3,6,15,15,15,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,0.6,15.0,1,Low_Risk,3.0,0,2.0,3
16,3,1,2,4,0,4,3,2,1,1,5,2,13,11,11,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,0.8666666666666667,11.666666666666666,1,Medium_Risk,2.333333333333333,0,2.0,3
15,4,2,1,4,0,3,3,3,1,1,3,0,11,9,10,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,1.0,10.0,1,Medium_Risk,2.0,0,3.0,4
15,1,1,1,2,0,3,3,4,2,4,5,2,13,11,11,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,0.8666666666666667,11.666666666666666,1,Medium_Risk,3.888888888888889,0,1.0,1
16,3,1,1,1,0,5,3,2,2,2,5,0,13,13,14,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,1.0,13.333333333333334,1,Low_Risk,6.666666666666667,0,2.0,3
16,3,3,1,2,0,4,3,3,2,4,5,4,11,11,11,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,False,0.7333333333333334,11.0,1,Medium_Risk,3.6666666666666665,0,3.0,3
15,4,3,1,2,0,4,3,3,2,3,5,0,11,11,11,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,True,True,True,False,1.0,11.0,1,Medium_Risk,3.6666666666666665,0,3.5,4
15,4,0,2,4,0,3,4,3,1,1,1,0,12,11,11,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,1.0,11.333333333333334,1,Medium_Risk,2.2666666666666666,0,2.0,4
16,2,2,1,4,0,5,2,3,1,3,3,1,13,13,13,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,0.9333333333333333,13.0,1,Medium_Risk,2.6,0,2.0,2
17,2,1,2,1,3,4,5,1,1,1,3,0,9,9,10,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,False,True,False,1.0,9.333333333333334,1,Medium_Risk,4.666666666666667,1,1.5,2
16,3,4,1,2,0,2,4,3,1,2,3,14,12,11,11,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,0.06666666666666665,11.333333333333334,1,Medium_Risk,3.777777777777778,0,3.5,4
15,2,3,1,1,0,3,2,2,1,3,3,0,11,11,12,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,1.0,11.333333333333334,1,Medium_Risk,5.666666666666667,0,2.5,3
15,2,3,1,3,0,5,3,2,1,2,5,2,10,9,9,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,0.8666666666666667,9.333333333333334,0,High_Risk,2.3333333333333335,0,2.5,3
15,3,2,1,2,0,4,4,4,1,1,5,4,12,11,11,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,0.7333333333333334,11.333333333333334,1,Medium_Risk,3.777777777777778,0,2.5,3
15,2,2,2,2,0,5,3,3,1,3,4,2,13,12,13,False,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False,0.8666666666666667,12.666666666666666,1,Medium_Risk,4.222222222222222,0,2.0,2
15,1,1,1,2,0,4,3,2,2,3,4,2,13,12,12,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,0.8666666666666667,12.333333333333334,1,Medium_Risk,4.111111111111112,0,1.0,1
15,4,4,2,2,0,4,4,4,2,3,5,4,12,11,12,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,0.7333333333333334,11.666666666666666,1,Medium_Risk,3.888888888888889,0,4.0,4
16,2,2,1,2,0,4,3,4,1,2,2,6,13,11,11,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,0.6,11.666666666666666,1,Medium_Risk,3.888888888888889,0,2.0,2
15,4,2,1,3,0,5,3,3,1,3,1,4,15,15,15,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0.7333333333333334,15.0,1,Low_Risk,3.75,0,3.0,4
16,2,2,2,2,0,4,4,2,1,1,3,6,12,10,11,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,0.6,11.0,1,Medium_Risk,3.6666666666666665,0,2.0,2
16,4,4,1,2,0,4,1,3,3,5,5,6,9,9,10,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,0.6,9.333333333333334,1,Medium_Risk,3.111111111111111,0,4.0,4
16,3,3,1,3,0,4,3,3,1,3,4,2,9,11,11,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,0.8666666666666667,10.333333333333334,1,Medium_Risk,2.5833333333333335,0,3.0,3
15,4,3,1,1,0,4,5,5,1,3,1,6,14,13,13,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,0.6,13.333333333333334,1,Medium_Risk,6.666666666666667,0,3.5,4
16,3,1,1,2,0,3,3,3,2,3,2,0,12,13,12,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,1.0,12.333333333333334,1,Medium_Risk,4.111111111111112,0,2.0,3
16,4,2,2,2,0,5,3,3,1,1,1,2,13,14,14,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,0.8666666666666667,13.666666666666666,1,Low_Risk,4.555555555555555,0,3.0,4
15,2,2,1,4,0,4,3,4,1,1,4,2,11,12,12,False,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0.8666666666666667,11.666666666666666,1,Medium_Risk,2.333333333333333,0,2.0,2
15,1,1,2,4,0,3,1,2,1,1,1,4,13,13,13,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True,True,True,True,False,0.7333333333333334,13.0,1,Medium_Risk,2.6,0,1.0,1
16,4,3,2,1,0,3,3,3,1,1,4,6,9,11,11,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,True,True,False,True,True,False,0.6,10.333333333333334,1,Medium_Risk,5.166666666666667,0,3.5,4
16,2,1,1,2,0,4,3,5,1,1,5,0,13,12,12,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,1.0,12.333333333333334,1,Medium_Risk,4.111111111111112,0,1.5,2
16,4,4,1,1,0,5,3,4,1,2,1,4,12,13,13,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,0.7333333333333334,12.666666666666666,1,Medium_Risk,6.333333333333333,0,4.0,4
16,4,3,1,3,0,5,3,5,1,1,3,2,12,13,13,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,0.8666666666666667,12.666666666666666,1,Medium_Risk,3.1666666666666665,0,3.5,4
16,4,4,1,1,0,4,5,5,5,5,4,12,9,9,8,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,True,True,True,True,False,0.19999999999999996,8.666666666666666,0,High_Risk,4.333333333333333,0,4.0,4
16,4,4,1,3,0,4,4,3,1,1,4,0,16,16,16,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,True,1.0,16.0,1,Low_Risk,4.0,0,4.0,4
15,4,4,1,1,0,5,3,3,1,1,5,2,12,13,12,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,0.8666666666666667,12.333333333333334,1,Medium_Risk,6.166666666666667,0,4.0,4
15,3,2,2,2,0,4,3,5,1,1,2,15,11,10,10,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,True,True,False,0.0,10.333333333333334,1,Medium_Risk,3.4444444444444446,0,2.5,3
15,3,4,1,2,0,5,4,4,1,1,1,0,16,16,16,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,1.0,16.0,1,Low_Risk,5.333333333333333,0,3.5,4
15,3,3,1,4,0,4,3,3,1,1,4,10,10,10,10,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,0.33333333333333337,10.0,1,Medium_Risk,2.0,0,3.0,3
15,2,2,1,4,0,5,1,2,1,1,3,4,10,10,10,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,0.7333333333333334,10.0,1,Medium_Risk,2.0,0,2.0,2
16,3,3,1,3,0,5,3,3,1,1,5,4,13,14,14,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,0.7333333333333334,13.666666666666666,1,Low_Risk,3.4166666666666665,0,3.0,3
15,4,4,4,4,0,1,3,5,3,5,1,8,12,10,11,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,0.4666666666666667,11.0,1,Medium_Risk,2.2,0,4.0,4
16,4,4,1,3,0,5,4,5,1,1,4,2,15,15,14,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,0.8666666666666667,14.666666666666666,1,Low_Risk,3.6666666666666665,0,4.0,4
